"state","county","year","party","candidate","votes","pct"
"TX","Clay",2004,"GRN","Ralph Nader",NA,NA
"TX","Cochran",2004,"REP","George Bush",856,77.5
"TX","Cochran",2004,"DEM","John Kerry",249,22.5
"TX","Cochran",2004,"GRN","Ralph Nader",NA,NA
"TX","Coke",2004,"REP","George Bush",1338,83.4
"TX","Coke",2004,"DEM","John Kerry",266,16.6
"TX","Coke",2004,"GRN","Ralph Nader",NA,NA
"TX","Coleman",2004,"REP","George Bush",3034,79.6
"TX","Coleman",2004,"DEM","John Kerry",778,20.4
"TX","Coleman",2004,"GRN","Ralph Nader",NA,NA
"TX","Collin",2004,"REP","George Bush",173014,71.7
"TX","Collin",2004,"DEM","John Kerry",68312,28.3
"TX","Collin",2004,"GRN","Ralph Nader",NA,NA
"TX","Collingsworth",2004,"REP","George Bush",1051,75.2
"TX","Collingsworth",2004,"DEM","John Kerry",346,24.8
"TX","Collingsworth",2004,"GRN","Ralph Nader",NA,NA
"TX","Colorado",2004,"REP","George Bush",5484,71.8
"TX","Colorado",2004,"DEM","John Kerry",2159,28.2
"TX","Colorado",2004,"GRN","Ralph Nader",NA,NA
"TX","Comal",2004,"REP","George Bush",31544,77.5
"TX","Comal",2004,"DEM","John Kerry",9138,22.5
"TX","Comal",2004,"GRN","Ralph Nader",NA,NA
"TX","Comanche",2004,"REP","George Bush",3710,72.2
"TX","Comanche",2004,"DEM","John Kerry",1431,27.8
"TX","Comanche",2004,"GRN","Ralph Nader",NA,NA
"TX","Concho",2004,"REP","George Bush",861,77.5
"TX","Concho",2004,"DEM","John Kerry",250,22.5
"TX","Concho",2004,"GRN","Ralph Nader",NA,NA
"TX","Cooke",2004,"REP","George Bush",11897,79.1
"TX","Cooke",2004,"DEM","John Kerry",3136,20.9
"TX","Cooke",2004,"GRN","Ralph Nader",NA,NA
"TX","Coryell",2004,"REP","George Bush",12359,70.8
"TX","Coryell",2004,"DEM","John Kerry",5088,29.2
"TX","Coryell",2004,"GRN","Ralph Nader",NA,NA
"TX","Cottle",2004,"REP","George Bush",549,72
"TX","Cottle",2004,"DEM","John Kerry",214,28
"TX","Cottle",2004,"GRN","Ralph Nader",NA,NA
"TX","Crane",2004,"REP","George Bush",1314,83.8
"TX","Crane",2004,"DEM","John Kerry",254,16.2
"TX","Crane",2004,"GRN","Ralph Nader",NA,NA
"TX","Crockett",2004,"REP","George Bush",1248,72.5
"TX","Crockett",2004,"DEM","John Kerry",473,27.5
"TX","Crockett",2004,"GRN","Ralph Nader",NA,NA
"TX","Crosby",2004,"REP","George Bush",1647,72.6
"TX","Crosby",2004,"DEM","John Kerry",621,27.4
"TX","Crosby",2004,"GRN","Ralph Nader",NA,NA
"TX","Culberson",2004,"REP","George Bush",407,52
"TX","Culberson",2004,"DEM","John Kerry",375,48
"TX","Culberson",2004,"GRN","Ralph Nader",NA,NA
"TX","Dallam",2004,"REP","George Bush",1370,81.8
"TX","Dallam",2004,"DEM","John Kerry",305,18.2
"TX","Dallam",2004,"GRN","Ralph Nader",NA,NA
"TX","Dallas",2004,"REP","George Bush",345482,50.7
"TX","Dallas",2004,"DEM","John Kerry",335871,49.3
"TX","Dallas",2004,"GRN","Ralph Nader",NA,NA
"TX","Dawson",2004,"REP","George Bush",3419,75.4
"TX","Dawson",2004,"DEM","John Kerry",1114,24.6
"TX","Dawson",2004,"GRN","Ralph Nader",NA,NA
"TX","Deaf Smith",2004,"REP","George Bush",4139,78.5
"TX","Deaf Smith",2004,"DEM","John Kerry",1133,21.5
"TX","Deaf Smith",2004,"GRN","Ralph Nader",NA,NA
"TX","Delta",2004,"REP","George Bush",1447,69.8
"TX","Delta",2004,"DEM","John Kerry",627,30.2
"TX","Delta",2004,"GRN","Ralph Nader",NA,NA
"TX","Denton",2004,"REP","George Bush",140541,70.4
"TX","Denton",2004,"DEM","John Kerry",59163,29.6
"TX","Denton",2004,"GRN","Ralph Nader",NA,NA
"TX","DeWitt",2004,"REP","George Bush",5095,76
"TX","DeWitt",2004,"DEM","John Kerry",1610,24
"TX","DeWitt",2004,"GRN","Ralph Nader",NA,NA
"TX","Dickens",2004,"REP","George Bush",815,76.9
"TX","Dickens",2004,"DEM","John Kerry",245,23.1
"TX","Dickens",2004,"GRN","Ralph Nader",NA,NA
"TX","Dimmit",2004,"DEM","John Kerry",2365,66.6
"TX","Dimmit",2004,"REP","George Bush",1188,33.4
"TX","Dimmit",2004,"GRN","Ralph Nader",NA,NA
"TX","Donley",2004,"REP","George Bush",1420,80.7
"TX","Donley",2004,"DEM","John Kerry",340,19.3
"TX","Donley",2004,"GRN","Ralph Nader",NA,NA
"TX","Duval",2004,"DEM","John Kerry",2916,71.5
"TX","Duval",2004,"REP","George Bush",1160,28.5
"TX","Duval",2004,"GRN","Ralph Nader",NA,NA
"TX","Eastland",2004,"REP","George Bush",5247,76.8
"TX","Eastland",2004,"DEM","John Kerry",1582,23.2
"TX","Eastland",2004,"GRN","Ralph Nader",NA,NA
"TX","Ector",2004,"REP","George Bush",27502,76.2
"TX","Ector",2004,"DEM","John Kerry",8579,23.8
"TX","Ector",2004,"GRN","Ralph Nader",NA,NA
"TX","Edwards",2004,"REP","George Bush",745,77.4
"TX","Edwards",2004,"DEM","John Kerry",217,22.6
"TX","Edwards",2004,"GRN","Ralph Nader",NA,NA
"TX","El Paso",2004,"DEM","John Kerry",94879,56.5
"TX","El Paso",2004,"REP","George Bush",73046,43.5
"TX","El Paso",2004,"GRN","Ralph Nader",NA,NA
"TX","Ellis",2004,"REP","George Bush",34577,74.9
"TX","Ellis",2004,"DEM","John Kerry",11618,25.1
"TX","Ellis",2004,"GRN","Ralph Nader",NA,NA
"TX","Erath",2004,"REP","George Bush",9499,79.8
"TX","Erath",2004,"DEM","John Kerry",2408,20.2
"TX","Erath",2004,"GRN","Ralph Nader",NA,NA
"TX","Falls",2004,"REP","George Bush",3378,61.4
"TX","Falls",2004,"DEM","John Kerry",2125,38.6
"TX","Falls",2004,"GRN","Ralph Nader",NA,NA
"TX","Fannin",2004,"REP","George Bush",7892,66.4
"TX","Fannin",2004,"DEM","John Kerry",4000,33.6
"TX","Fannin",2004,"GRN","Ralph Nader",NA,NA
"TX","Fayette",2004,"REP","George Bush",7526,72.9
"TX","Fayette",2004,"DEM","John Kerry",2803,27.1
"TX","Fayette",2004,"GRN","Ralph Nader",NA,NA
"TX","Fisher",2004,"REP","George Bush",1161,60.5
"TX","Fisher",2004,"DEM","John Kerry",757,39.5
"TX","Fisher",2004,"GRN","Ralph Nader",NA,NA
"TX","Floyd",2004,"REP","George Bush",2007,78
"TX","Floyd",2004,"DEM","John Kerry",567,22
"TX","Floyd",2004,"GRN","Ralph Nader",NA,NA
"TX","Foard",2004,"REP","George Bush",347,59.6
"TX","Foard",2004,"DEM","John Kerry",235,40.4
"TX","Foard",2004,"GRN","Ralph Nader",NA,NA
"TX","Fort Bend",2004,"REP","George Bush",93554,57.7
"TX","Fort Bend",2004,"DEM","John Kerry",68655,42.3
"TX","Fort Bend",2004,"GRN","Ralph Nader",NA,NA
"TX","Franklin",2004,"REP","George Bush",2917,76.3
"TX","Franklin",2004,"DEM","John Kerry",908,23.7
"TX","Franklin",2004,"GRN","Ralph Nader",NA,NA
"TX","Freestone",2004,"REP","George Bush",5053,70.9
"TX","Freestone",2004,"DEM","John Kerry",2070,29.1
"TX","Freestone",2004,"GRN","Ralph Nader",NA,NA
"TX","Frio",2004,"REP","George Bush",1985,50.7
"TX","Frio",2004,"DEM","John Kerry",1928,49.3
"TX","Frio",2004,"GRN","Ralph Nader",NA,NA
"TX","Gaines",2004,"REP","George Bush",3538,85.3
"TX","Gaines",2004,"DEM","John Kerry",608,14.7
"TX","Gaines",2004,"GRN","Ralph Nader",NA,NA
"TX","Galveston",2004,"REP","George Bush",61290,58.3
"TX","Galveston",2004,"DEM","John Kerry",43919,41.7
"TX","Galveston",2004,"GRN","Ralph Nader",NA,NA
"TX","Garza",2004,"REP","George Bush",1479,81.9
"TX","Garza",2004,"DEM","John Kerry",326,18.1
"TX","Garza",2004,"GRN","Ralph Nader",NA,NA
"TX","Gillespie",2004,"REP","George Bush",9294,81.6
"TX","Gillespie",2004,"DEM","John Kerry",2102,18.4
"TX","Gillespie",2004,"GRN","Ralph Nader",NA,NA
"TX","Glasscock",2004,"REP","George Bush",488,91.7
"TX","Glasscock",2004,"DEM","John Kerry",44,8.3
"TX","Glasscock",2004,"GRN","Ralph Nader",NA,NA
"TX","Goliad",2004,"REP","George Bush",2266,65
"TX","Goliad",2004,"DEM","John Kerry",1219,35
"TX","Goliad",2004,"GRN","Ralph Nader",NA,NA
"TX","Gonzales",2004,"REP","George Bush",4290,71.5
"TX","Gonzales",2004,"DEM","John Kerry",1707,28.5
"TX","Gonzales",2004,"GRN","Ralph Nader",NA,NA
"TX","Gray",2004,"REP","George Bush",7258,84.9
"TX","Gray",2004,"DEM","John Kerry",1289,15.1
"TX","Gray",2004,"GRN","Ralph Nader",NA,NA
"TX","Grayson",2004,"REP","George Bush",34679,69.7
"TX","Grayson",2004,"DEM","John Kerry",15062,30.3
"TX","Grayson",2004,"GRN","Ralph Nader",NA,NA
"TX","Gregg",2004,"REP","George Bush",29931,70.9
"TX","Gregg",2004,"DEM","John Kerry",12297,29.1
"TX","Gregg",2004,"GRN","Ralph Nader",NA,NA
"TX","Grimes",2004,"REP","George Bush",5263,66
"TX","Grimes",2004,"DEM","John Kerry",2713,34
"TX","Grimes",2004,"GRN","Ralph Nader",NA,NA
"TX","Guadalupe",2004,"REP","George Bush",28192,73.3
"TX","Guadalupe",2004,"DEM","John Kerry",10280,26.7
"TX","Guadalupe",2004,"GRN","Ralph Nader",NA,NA
"TX","Hale",2004,"REP","George Bush",8011,79.4
"TX","Hale",2004,"DEM","John Kerry",2074,20.6
"TX","Hale",2004,"GRN","Ralph Nader",NA,NA
"TX","Hall",2004,"REP","George Bush",858,67.6
"TX","Hall",2004,"DEM","John Kerry",412,32.4
"TX","Hall",2004,"GRN","Ralph Nader",NA,NA
"TX","Hamilton",2004,"REP","George Bush",2855,77.2
"TX","Hamilton",2004,"DEM","John Kerry",845,22.8
"TX","Hamilton",2004,"GRN","Ralph Nader",NA,NA
"TX","Hansford",2004,"REP","George Bush",1892,88.6
"TX","Hansford",2004,"DEM","John Kerry",243,11.4
"TX","Hansford",2004,"GRN","Ralph Nader",NA,NA
"TX","Hardeman",2004,"REP","George Bush",1214,71.7
"TX","Hardeman",2004,"DEM","John Kerry",480,28.3
"TX","Hardeman",2004,"GRN","Ralph Nader",NA,NA
"TX","Hardin",2004,"REP","George Bush",14844,72.9
"TX","Hardin",2004,"DEM","John Kerry",5519,27.1
"TX","Hardin",2004,"GRN","Ralph Nader",NA,NA
"TX","Harris",2004,"REP","George Bush",580553,55.1
"TX","Harris",2004,"DEM","John Kerry",472320,44.9
"TX","Harris",2004,"GRN","Ralph Nader",NA,NA
"TX","Harrison",2004,"REP","George Bush",16456,63.1
"TX","Harrison",2004,"DEM","John Kerry",9637,36.9
"TX","Harrison",2004,"GRN","Ralph Nader",NA,NA
"TX","Hartley",2004,"REP","George Bush",1735,84.6
"TX","Hartley",2004,"DEM","John Kerry",315,15.4
"TX","Hartley",2004,"GRN","Ralph Nader",NA,NA
"TX","Haskell",2004,"REP","George Bush",1137,65
"TX","Haskell",2004,"DEM","John Kerry",611,35
"TX","Haskell",2004,"GRN","Ralph Nader",NA,NA
"TX","Hays",2004,"REP","George Bush",26991,57.3
"TX","Hays",2004,"DEM","John Kerry",20086,42.7
"TX","Hays",2004,"GRN","Ralph Nader",NA,NA
"TX","Hemphill",2004,"REP","George Bush",1380,84.3
"TX","Hemphill",2004,"DEM","John Kerry",257,15.7
"TX","Hemphill",2004,"GRN","Ralph Nader",NA,NA
"TX","Henderson",2004,"REP","George Bush",20182,70.4
"TX","Henderson",2004,"DEM","John Kerry",8496,29.6
"TX","Henderson",2004,"GRN","Ralph Nader",NA,NA
"TX","Hidalgo",2004,"DEM","John Kerry",63035,55.1
"TX","Hidalgo",2004,"REP","George Bush",51438,44.9
"TX","Hidalgo",2004,"GRN","Ralph Nader",NA,NA
"TX","Hill",2004,"REP","George Bush",9223,71.1
"TX","Hill",2004,"DEM","John Kerry",3750,28.9
"TX","Hill",2004,"GRN","Ralph Nader",NA,NA
"TX","Hockley",2004,"REP","George Bush",6158,81.6
"TX","Hockley",2004,"DEM","John Kerry",1385,18.4
"TX","Hockley",2004,"GRN","Ralph Nader",NA,NA
"TX","Hood",2004,"REP","George Bush",16265,77
"TX","Hood",2004,"DEM","John Kerry",4862,23
"TX","Hood",2004,"GRN","Ralph Nader",NA,NA
"TX","Hopkins",2004,"REP","George Bush",8580,71.4
"TX","Hopkins",2004,"DEM","John Kerry",3439,28.6
"TX","Hopkins",2004,"GRN","Ralph Nader",NA,NA
"TX","Houston",2004,"REP","George Bush",5848,66.7
"TX","Houston",2004,"DEM","John Kerry",2921,33.3
"TX","Houston",2004,"GRN","Ralph Nader",NA,NA
"TX","Howard",2004,"REP","George Bush",7479,73.7
"TX","Howard",2004,"DEM","John Kerry",2663,26.3
"TX","Howard",2004,"GRN","Ralph Nader",NA,NA
"TX","Hudspeth",2004,"REP","George Bush",577,65.6
"TX","Hudspeth",2004,"DEM","John Kerry",302,34.4
"TX","Hudspeth",2004,"GRN","Ralph Nader",NA,NA
"TX","Hunt",2004,"REP","George Bush",20065,71.6
"TX","Hunt",2004,"DEM","John Kerry",7971,28.4
"TX","Hunt",2004,"GRN","Ralph Nader",NA,NA
"TX","Hutchinson",2004,"REP","George Bush",7829,83.9
"TX","Hutchinson",2004,"DEM","John Kerry",1501,16.1
"TX","Hutchinson",2004,"GRN","Ralph Nader",NA,NA
"TX","Irion",2004,"REP","George Bush",684,82.9
"TX","Irion",2004,"DEM","John Kerry",141,17.1
"TX","Irion",2004,"GRN","Ralph Nader",NA,NA
"TX","Jack",2004,"REP","George Bush",2469,79.4
"TX","Jack",2004,"DEM","John Kerry",642,20.6
"TX","Jack",2004,"GRN","Ralph Nader",NA,NA
"TX","Jackson",2004,"REP","George Bush",3763,74.4
"TX","Jackson",2004,"DEM","John Kerry",1296,25.6
"TX","Jackson",2004,"GRN","Ralph Nader",NA,NA
"TX","Jasper",2004,"REP","George Bush",8328,65.1
"TX","Jasper",2004,"DEM","John Kerry",4459,34.9
"TX","Jasper",2004,"GRN","Ralph Nader",NA,NA
"TX","Jeff Davis",2004,"REP","George Bush",764,66.9
"TX","Jeff Davis",2004,"DEM","John Kerry",378,33.1
"TX","Jeff Davis",2004,"GRN","Ralph Nader",NA,NA
"TX","Jefferson",2004,"DEM","John Kerry",47050,51.4
"TX","Jefferson",2004,"REP","George Bush",44412,48.6
"TX","Jefferson",2004,"GRN","Ralph Nader",NA,NA
"TX","Jim Hogg",2004,"DEM","John Kerry",1344,65.4
"TX","Jim Hogg",2004,"REP","George Bush",712,34.6
"TX","Jim Hogg",2004,"GRN","Ralph Nader",NA,NA
"TX","Jim Wells",2004,"DEM","John Kerry",6824,54
"TX","Jim Wells",2004,"REP","George Bush",5808,46
"TX","Jim Wells",2004,"GRN","Ralph Nader",NA,NA
"TX","Johnson",2004,"REP","George Bush",34739,73.8
"TX","Johnson",2004,"DEM","John Kerry",12311,26.2
"TX","Johnson",2004,"GRN","Ralph Nader",NA,NA
"TX","Jones",2004,"REP","George Bush",4234,71.9
"TX","Jones",2004,"DEM","John Kerry",1657,28.1
"TX","Jones",2004,"GRN","Ralph Nader",NA,NA
"TX","Karnes",2004,"REP","George Bush",3112,66.9
"TX","Karnes",2004,"DEM","John Kerry",1542,33.1
"TX","Karnes",2004,"GRN","Ralph Nader",NA,NA
"TX","Kaufman",2004,"REP","George Bush",21292,70.4
"TX","Kaufman",2004,"DEM","John Kerry",8947,29.6
"TX","Kaufman",2004,"GRN","Ralph Nader",NA,NA
"TX","Kendall",2004,"REP","George Bush",11428,81.9
"TX","Kendall",2004,"DEM","John Kerry",2531,18.1
"TX","Kendall",2004,"GRN","Ralph Nader",NA,NA
"TX","Kenedy",2004,"DEM","John Kerry",85,50.9
"TX","Kenedy",2004,"REP","George Bush",82,49.1
"TX","Kenedy",2004,"GRN","Ralph Nader",NA,NA
"TX","Kent",2004,"REP","George Bush",382,73.5
"TX","Kent",2004,"DEM","John Kerry",138,26.5
"TX","Kent",2004,"GRN","Ralph Nader",NA,NA
"TX","Kerr",2004,"REP","George Bush",16519,78.4
"TX","Kerr",2004,"DEM","John Kerry",4552,21.6
"TX","Kerr",2004,"GRN","Ralph Nader",NA,NA
"TX","Kimble",2004,"REP","George Bush",1479,82
"TX","Kimble",2004,"DEM","John Kerry",324,18
"TX","Kimble",2004,"GRN","Ralph Nader",NA,NA
"TX","King",2004,"REP","George Bush",137,88.4
"TX","King",2004,"DEM","John Kerry",18,11.6
"TX","King",2004,"GRN","Ralph Nader",NA,NA
"TX","Kinney",2004,"REP","George Bush",1050,66
"TX","Kinney",2004,"DEM","John Kerry",542,34
"TX","Kinney",2004,"GRN","Ralph Nader",NA,NA
"TX","Kleberg",2004,"REP","George Bush",5379,54.2
"TX","Kleberg",2004,"DEM","John Kerry",4552,45.8
"TX","Kleberg",2004,"GRN","Ralph Nader",NA,NA
"TX","Knox",2004,"REP","George Bush",1079,69.9
"TX","Knox",2004,"DEM","John Kerry",464,30.1
"TX","Knox",2004,"GRN","Ralph Nader",NA,NA
"TX","La Salle",2004,"DEM","John Kerry",1229,55.4
"TX","La Salle",2004,"REP","George Bush",989,44.6
"TX","La Salle",2004,"GRN","Ralph Nader",NA,NA
"TX","Lamar",2004,"REP","George Bush",12039,69.3
"TX","Lamar",2004,"DEM","John Kerry",5335,30.7
"TX","Lamar",2004,"GRN","Ralph Nader",NA,NA
"TX","Lamb",2004,"REP","George Bush",3392,79.9
"TX","Lamb",2004,"DEM","John Kerry",855,20.1
"TX","Lamb",2004,"GRN","Ralph Nader",NA,NA
"TX","Lampasas",2004,"REP","George Bush",5417,77.3
"TX","Lampasas",2004,"DEM","John Kerry",1591,22.7
"TX","Lampasas",2004,"GRN","Ralph Nader",NA,NA
"TX","Lavaca",2004,"REP","George Bush",5974,73.5
"TX","Lavaca",2004,"DEM","John Kerry",2151,26.5
"TX","Lavaca",2004,"GRN","Ralph Nader",NA,NA
"TX","Lee",2004,"REP","George Bush",4157,68.6
"TX","Lee",2004,"DEM","John Kerry",1899,31.4
"TX","Lee",2004,"GRN","Ralph Nader",NA,NA
"TX","Leon",2004,"REP","George Bush",5012,74.1
"TX","Leon",2004,"DEM","John Kerry",1750,25.9
"TX","Leon",2004,"GRN","Ralph Nader",NA,NA
"TX","Liberty",2004,"REP","George Bush",14798,68.6
"TX","Liberty",2004,"DEM","John Kerry",6777,31.4
"TX","Liberty",2004,"GRN","Ralph Nader",NA,NA
"TX","Limestone",2004,"REP","George Bush",5028,64.6
"TX","Limestone",2004,"DEM","John Kerry",2752,35.4
"TX","Limestone",2004,"GRN","Ralph Nader",NA,NA
"TX","Lipscomb",2004,"REP","George Bush",1147,86.2
"TX","Lipscomb",2004,"DEM","John Kerry",184,13.8
"TX","Lipscomb",2004,"GRN","Ralph Nader",NA,NA
"TX","Live Oak",2004,"REP","George Bush",3144,75.3
"TX","Live Oak",2004,"DEM","John Kerry",1034,24.7
"TX","Live Oak",2004,"GRN","Ralph Nader",NA,NA
"TX","Llano",2004,"REP","George Bush",7231,76.2
"TX","Llano",2004,"DEM","John Kerry",2255,23.8
"TX","Llano",2004,"GRN","Ralph Nader",NA,NA
"TX","Loving",2004,"REP","George Bush",65,84.4
"TX","Loving",2004,"DEM","John Kerry",12,15.6
"TX","Loving",2004,"GRN","Ralph Nader",NA,NA
"TX","Lubbock",2004,"REP","George Bush",69675,75.7
"TX","Lubbock",2004,"DEM","John Kerry",22331,24.3
"TX","Lubbock",2004,"GRN","Ralph Nader",NA,NA
"TX","Lynn",2004,"REP","George Bush",1745,79
"TX","Lynn",2004,"DEM","John Kerry",465,21
"TX","Lynn",2004,"GRN","Ralph Nader",NA,NA
"TX","Madison",2004,"REP","George Bush",2828,69.6
"TX","Madison",2004,"DEM","John Kerry",1233,30.4
"TX","Madison",2004,"GRN","Ralph Nader",NA,NA
"TX","Marion",2004,"REP","George Bush",2434,56.5
"TX","Marion",2004,"DEM","John Kerry",1875,43.5
"TX","Marion",2004,"GRN","Ralph Nader",NA,NA
"TX","Martin",2004,"REP","George Bush",1511,83.8
"TX","Martin",2004,"DEM","John Kerry",293,16.2
"TX","Martin",2004,"GRN","Ralph Nader",NA,NA
"TX","Mason",2004,"REP","George Bush",1599,77.7
"TX","Mason",2004,"DEM","John Kerry",459,22.3
"TX","Mason",2004,"GRN","Ralph Nader",NA,NA
"TX","Matagorda",2004,"REP","George Bush",8114,65.1
"TX","Matagorda",2004,"DEM","John Kerry",4347,34.9
"TX","Matagorda",2004,"GRN","Ralph Nader",NA,NA
"TX","Maverick",2004,"DEM","John Kerry",5948,59.6
"TX","Maverick",2004,"REP","George Bush",4025,40.4
"TX","Maverick",2004,"GRN","Ralph Nader",NA,NA
"TX","McCulloch",2004,"REP","George Bush",2465,76.8
"TX","McCulloch",2004,"DEM","John Kerry",745,23.2
"TX","McCulloch",2004,"GRN","Ralph Nader",NA,NA
"TX","McLennan",2004,"REP","George Bush",52078,66.1
"TX","McLennan",2004,"DEM","John Kerry",26759,33.9
"TX","McLennan",2004,"GRN","Ralph Nader",NA,NA
"TX","McMullen",2004,"REP","George Bush",467,83.1
"TX","McMullen",2004,"DEM","John Kerry",95,16.9
"TX","McMullen",2004,"GRN","Ralph Nader",NA,NA
"TX","Medina",2004,"REP","George Bush",10385,70.6
"TX","Medina",2004,"DEM","John Kerry",4316,29.4
"TX","Medina",2004,"GRN","Ralph Nader",NA,NA
"TX","Menard",2004,"REP","George Bush",761,69.7
"TX","Menard",2004,"DEM","John Kerry",331,30.3
"TX","Menard",2004,"GRN","Ralph Nader",NA,NA
"TX","Midland",2004,"REP","George Bush",36548,82.1
"TX","Midland",2004,"DEM","John Kerry",7994,17.9
"TX","Midland",2004,"GRN","Ralph Nader",NA,NA
"TX","Milam",2004,"REP","George Bush",5280,60.6
"TX","Milam",2004,"DEM","John Kerry",3435,39.4
"TX","Milam",2004,"GRN","Ralph Nader",NA,NA
"TX","Mills",2004,"REP","George Bush",1820,80.6
"TX","Mills",2004,"DEM","John Kerry",439,19.4
"TX","Mills",2004,"GRN","Ralph Nader",NA,NA
"TX","Mitchell",2004,"REP","George Bush",1911,74.9
"TX","Mitchell",2004,"DEM","John Kerry",639,25.1
"TX","Mitchell",2004,"GRN","Ralph Nader",NA,NA
"TX","Montague",2004,"REP","George Bush",5901,75.2
"TX","Montague",2004,"DEM","John Kerry",1944,24.8
"TX","Montague",2004,"GRN","Ralph Nader",NA,NA
"TX","Montgomery",2004,"REP","George Bush",104361,78.5
"TX","Montgomery",2004,"DEM","John Kerry",28561,21.5
"TX","Montgomery",2004,"GRN","Ralph Nader",NA,NA
"TX","Moore",2004,"REP","George Bush",4598,82
"TX","Moore",2004,"DEM","John Kerry",1009,18
"TX","Moore",2004,"GRN","Ralph Nader",NA,NA
"TX","Morris",2004,"REP","George Bush",2814,53.6
"TX","Morris",2004,"DEM","John Kerry",2435,46.4
"TX","Morris",2004,"GRN","Ralph Nader",NA,NA
"TX","Motley",2004,"REP","George Bush",564,83.3
"TX","Motley",2004,"DEM","John Kerry",113,16.7
"TX","Motley",2004,"GRN","Ralph Nader",NA,NA
"TX","Nacogdoches",2004,"REP","George Bush",13964,66.4
"TX","Nacogdoches",2004,"DEM","John Kerry",7077,33.6
"TX","Nacogdoches",2004,"GRN","Ralph Nader",NA,NA
"TX","Navarro",2004,"REP","George Bush",10706,67.1
"TX","Navarro",2004,"DEM","John Kerry",5256,32.9
"TX","Navarro",2004,"GRN","Ralph Nader",NA,NA
"TX","Newton",2004,"REP","George Bush",3147,55.6
"TX","Newton",2004,"DEM","John Kerry",2510,44.4
"TX","Newton",2004,"GRN","Ralph Nader",NA,NA
"TX","Nolan",2004,"REP","George Bush",3722,70.7
"TX","Nolan",2004,"DEM","John Kerry",1541,29.3
"TX","Nolan",2004,"GRN","Ralph Nader",NA,NA
"TX","Nueces",2004,"REP","George Bush",59337,57.2
"TX","Nueces",2004,"DEM","John Kerry",44408,42.8
"TX","Nueces",2004,"GRN","Ralph Nader",NA,NA
"TX","Ochiltree",2004,"REP","George Bush",2920,92.1
"TX","Ochiltree",2004,"DEM","John Kerry",251,7.9
"TX","Ochiltree",2004,"GRN","Ralph Nader",NA,NA
"TX","Oldham",2004,"REP","George Bush",733,87.2
"TX","Oldham",2004,"DEM","John Kerry",108,12.8
"TX","Oldham",2004,"GRN","Ralph Nader",NA,NA
"TX","Orange",2004,"REP","George Bush",20272,63.9
"TX","Orange",2004,"DEM","John Kerry",11469,36.1
"TX","Orange",2004,"GRN","Ralph Nader",NA,NA
"TX","Palo Pinto",2004,"REP","George Bush",7137,71.7
"TX","Palo Pinto",2004,"DEM","John Kerry",2816,28.3
"TX","Palo Pinto",2004,"GRN","Ralph Nader",NA,NA
"TX","Panola",2004,"REP","George Bush",7020,70.4
"TX","Panola",2004,"DEM","John Kerry",2958,29.6
"TX","Panola",2004,"GRN","Ralph Nader",NA,NA
"TX","Parker",2004,"REP","George Bush",31759,78
"TX","Parker",2004,"DEM","John Kerry",8948,22
"TX","Parker",2004,"GRN","Ralph Nader",NA,NA
"TX","Parmer",2004,"REP","George Bush",3340,86
"TX","Parmer",2004,"DEM","John Kerry",542,14
"TX","Parmer",2004,"GRN","Ralph Nader",NA,NA
"TX","Pecos",2004,"REP","George Bush",3160,71.8
"TX","Pecos",2004,"DEM","John Kerry",1241,28.2
"TX","Pecos",2004,"GRN","Ralph Nader",NA,NA
"TX","Polk",2004,"REP","George Bush",13778,66.5
"TX","Polk",2004,"DEM","John Kerry",6954,33.5
"TX","Polk",2004,"GRN","Ralph Nader",NA,NA
"TX","Potter",2004,"REP","George Bush",21033,73.7
"TX","Potter",2004,"DEM","John Kerry",7487,26.3
"TX","Potter",2004,"GRN","Ralph Nader",NA,NA
"TX","Presidio",2004,"DEM","John Kerry",1156,61.9
"TX","Presidio",2004,"REP","George Bush",713,38.1
"TX","Presidio",2004,"GRN","Ralph Nader",NA,NA
"TX","Rains",2004,"REP","George Bush",2995,71.2
"TX","Rains",2004,"DEM","John Kerry",1213,28.8
"TX","Rains",2004,"GRN","Ralph Nader",NA,NA
"TX","Randall",2004,"REP","George Bush",40512,83.8
"TX","Randall",2004,"DEM","John Kerry",7842,16.2
"TX","Randall",2004,"GRN","Ralph Nader",NA,NA
"TX","Reagan",2004,"REP","George Bush",955,83.8
"TX","Reagan",2004,"DEM","John Kerry",184,16.2
"TX","Reagan",2004,"GRN","Ralph Nader",NA,NA
"TX","Real",2004,"REP","George Bush",1338,80.4
"TX","Real",2004,"DEM","John Kerry",326,19.6
"TX","Real",2004,"GRN","Ralph Nader",NA,NA
"TX","Red River",2004,"REP","George Bush",3377,61.7
"TX","Red River",2004,"DEM","John Kerry",2097,38.3
"TX","Red River",2004,"GRN","Ralph Nader",NA,NA
"TX","Reeves",2004,"REP","George Bush",1777,52.6
"TX","Reeves",2004,"DEM","John Kerry",1600,47.4
"TX","Reeves",2004,"GRN","Ralph Nader",NA,NA
"TX","Refugio",2004,"REP","George Bush",2163,64.2
"TX","Refugio",2004,"DEM","John Kerry",1205,35.8
"TX","Refugio",2004,"GRN","Ralph Nader",NA,NA
"TX","Roberts",2004,"REP","George Bush",428,91.6
"TX","Roberts",2004,"DEM","John Kerry",39,8.4
"TX","Roberts",2004,"GRN","Ralph Nader",NA,NA
"TX","Robertson",2004,"REP","George Bush",3781,55.9
